Energy,1,2,10,300,280,260,240,220,200,180,160,140,120,100,80,60,40,20,4,3
2.21,636.55,1321.75,308.05,716.433,244.483,230.133,117.8,267,257.4,346.183,228.9,326.633,244.367,146.667,431.967,402.1,285.2,413.483,962.383,316.5
2.23,376.267,1130.32,229.367,678.633,339.683,251.183,227.617,257.75,273.133,261.283,161.933,399.533,266.883,277.217,531.95,346.15,330.517,436.783,913.617,241.692
2.25,217.667,845.567,146.517,686.622,389.289,303.456,269.306,320.472,290.806,293.156,158.272,346.272,208.222,270.972,450.339,400.089,402.522,407.872,856.917,218.392
2.27,448.533,875.083,290.933,709.078,458.444,381.794,395.244,341.211,352.278,344.511,282.128,475.178,305.328,429.528,460.444,347.744,435.861,493.211,868.917,288.233
2.29,487.117,866.367,271.925,599.528,418.844,320.144,310.328,294.044,269.578,366.994,179.194,343.428,263.761,388.428,429.928,357.928,370.128,509.461,860.183,306.9
2.31,557.317,1109.32,416.808,532.422,450.806,278.272,265.072,341.739,376.456,414.506,258.456,444.872,239.122,408.772,463.389,452.039,432.039,553.789,787.3,275.283
2.33,680.267,1015.87,436.4,586.039,466.272,375.239,288.339,367.889,367.422,391.356,326.122,374.372,314.206,416.122,507.722,512.656,403.522,622.556,772.133,425.5
2.35,678.633,1015.78,511.942,556.394,445.394,391.511,247.661,369.394,369.594,471.011,290.961,413.094,334.511,484.061,418.711,448.361,498.144,596.761,848.383,414.617
2.37,627.35,928.75,414.425,494.283,363,317.567,286.767,303.917,354.75,393.6,290.85,374.317,296.967,460.05,427.85,400.6,531.467,609,737.767,376.325
2.39,785.633,1032.98,463.425,489.639,320.489,270.072,223.889,333.589,383.789,352.689,242.189,360.622,322.239,395.922,392.806,452.689,517.572,620.906,788.167,435.125
2.41,844.083,1088.63,456.225,386.728,318.328,223.911,194.411,220.544,315.178,311.544,275.811,340.594,245.278,278.744,395.578,382.644,453.644,558.111,925.767,402.1
2.43,952.767,1108.32,466.917,410.028,301.311,297.644,225.478,297.161,326.811,354.378,266.211,315.261,273.511,361.728,425.394,449.794,510.444,610.994,973.75,407.042
2.45,1037.42,1059.72,558.817,350.4,235.9,252.7,214.633,240.317,291.867,336.033,257.333,346.4,255.733,317.167,381.083,423.067,497.767,657.967,950.7,461.317
2.47,1178.42,1259.17,486.2,391.044,274.211,255.678,213.978,278.528,246.878,348.911,244.894,329.794,308.944,392.528,397.578,473.578,494.478,666.478,920.133,397.9
2.49,1201.55,1194.35,553.4,305.511,216.394,168.294,224.178,241.778,238.678,309.894,225.378,329.544,266.078,319.428,379.794,419.128,492.111,646.361,856.55,435.25
2.51,1266.55,1254,606.417,287.906,238.889,187.672,140.889,242.189,265.289,227.139,218.522,258.406,232.839,314.956,310.022,374.256,477.672,656.606,798.172,406.717
2.53,1154.73,1146.43,547.6,270.906,170.872,222.772,188.572,238.306,267.189,231.056,188.439,292.706,242.539,347.439,335.422,393.222,502.572,599.522,698.712,368.875
2.55,1163.3,1072.9,557.128,192.948,148.451,170.936,169.226,200.088,225.511,190.839,204.854,244.539,222.301,295.343,296.471,333.206,436.864,545.121,591.883,378.803
2.57,1119.63,1034.26,473.569,225.442,174.292,120.837,165.721,189.934,190.297,186.634,173.534,220.556,214.522,268.369,300.431,341.287,408.226,534.086,471.808,328.224
2.59,1027.22,885.837,419.098,140.582,131.782,100.855,124.17,124.902,134.842,142.232,155.188,187.872,177.658,223.867,237.832,243.25,339.542,420.818,391.39,269.796
2.61,861.948,801.043,333.612,108.158,108.045,109.7,113.065,114.453,131.438,124.955,112.837,149.28,139.985,182.542,203.888,218.177,307.093,355.217,332.757,238.957
2.63,758.183,712.333,306.32,114.382,113.802,97.5689,102.131,104.199,104.597,122.757,110.077,153.344,110.909,157.732,198.752,201.366,263.464,306.769,252.068,195.16
2.65,622.675,586.47,248.8,86.1967,92.1133,78.6967,71.77,85.1367,79.4567,105.548,65.2683,112.3,80.615,119.963,137.193,157.227,222.23,238.683,197.31,143.478
2.67,545.127,456.357,205.192,82.0811,57.7744,61.4178,61.3744,76.2694,66.3928,81.0778,40.6311,96.7811,81.2761,107.568,103.421,115.543,169.988,207.844,147.177,114.952
2.69,432.808,343.828,154.807,48.9022,53.2656,39.5106,50.6556,37.6306,52.6439,54.2406,50.2756,72.0239,57.4339,82.0339,73.5322,96.7572,133.294,151.261,123.485,112.017
2.71,349.17,272.97,107.044,41.4667,49.9517,58.955,35.6333,45.9183,37.8317,58.8,44.5583,49.6133,50.795,87.5817,65.8483,83.6517,100.143,119.835,104.68,71.3617
2.73,261.407,221.252,71.0692,47.84,34.2117,48.5283,30.7933,28.5783,26.7,38.825,42.81,51.2383,40.9283,57.9367,38.3833,63.7683,76.2367,100.663,80.6467,54.4442
2.75,242.785,184.735,58.3892,27.8917,15.795,45.2667,21.115,31.0583,32.0467,28.1683,17.6583,37.8217,26.7417,44.0567,35.4033,47.715,67.7967,81.15,88.8317,42.0917
